event_id,session_id,customer_id,event_time,event_type,product_id,event_date
E00046655,S008720,101778,1/31/2026 23:59,view,P0398,1/31/2026
E00046510,S014975,101229,1/31/2026 23:57,view,P0186,1/31/2026
E00046688,S008964,101985,1/31/2026 23:53,view,P0287,1/31/2026
E00046656,S008720,101778,1/31/2026 23:52,view,P0197,1/31/2026
E00046654,S008720,101778,1/31/2026 23:49,view,P0129,1/31/2026
E00046687,S007344,,1/31/2026 23:46,view,P0364,1/31/2026
E00046713,S000613,101645,1/31/2026 23:36,view,P0285,1/31/2026
E00046714,S000613,101645,1/31/2026 23:36,view,P0259,1/31/2026
E00046715,S000613,101645,1/31/2026 23:35,view,P0230,1/31/2026
E00046528,S009248,101476,1/31/2026 23:32,purchase,,1/31/2026
E00046543,S019438,101311,1/31/2026 23:28,view,P0205,1/31/2026
E00046521,S014725,100586,1/31/2026 23:12,view,P0180,1/31/2026
E00046527,S009248,101476,1/31/2026 23:07,view,P0298,1/31/2026
E00046612,S016157,101083,1/31/2026 23:00,view,P0380,1/31/2026
E00046611,S016157,101083,1/31/2026 23:00,view,P0218,1/31/2026
E00046536,S002215,,1/31/2026 22:57,view,P0022,1/31/2026
E00046535,S002215,,1/31/2026 22:56,view,P0125,1/31/2026
E00046534,S002215,,1/31/2026 22:48,view,P0217,1/31/2026
E00046662,S007939,,1/31/2026 22:47,view,P0213,1/31/2026
E00046644,S004294,101969,1/31/2026 22:34,add_to_cart,P0149,1/31/2026
E00046583,S009502,,1/31/2026 22:32,view,P0202,1/31/2026
E00046582,S009502,,1/31/2026 22:30,view,P0018,1/31/2026
E00046678,S017296,101038,1/31/2026 22:30,view,P0267,1/31/2026
E00046645,S004294,101969,1/31/2026 22:29,add_to_cart,P0028,1/31/2026
E00046581,S009502,,1/31/2026 22:29,view,P0031,1/31/2026
E00046641,S004294,101969,1/31/2026 22:23,view,P0323,1/31/2026
E00046642,S004294,101969,1/31/2026 22:21,view,P0197,1/31/2026
E00046514,S009322,100043,1/31/2026 22:21,view,P0002,1/31/2026
E00046643,S004294,101969,1/31/2026 22:16,view,P0187,1/31/2026
E00046554,S016223,100329,1/31/2026 20:59,view,P0157,1/31/2026
E00046556,S016223,100329,1/31/2026 20:58,add_to_cart,P0150,1/31/2026
E00046555,S016223,100329,1/31/2026 20:50,view,P0093,1/31/2026
E00046531,S002188,100636,1/31/2026 20:43,view,P0114,1/31/2026
E00046529,S002188,100636,1/31/2026 20:43,view,P0165,1/31/2026
E00046530,S002188,100636,1/31/2026 20:37,view,P0053,1/31/2026
E00046550,S011783,101017,1/31/2026 20:22,view,P0365,1/31/2026
E00046591,S011055,101355,1/31/2026 20:21,view,P0275,1/31/2026
E00046552,S011783,101017,1/31/2026 20:17,add_to_cart,P0119,1/31/2026
E00046551,S011783,101017,1/31/2026 20:16,view,P0331,1/31/2026
E00046592,S011055,101355,1/31/2026 20:15,view,P0212,1/31/2026
E00046549,S011783,101017,1/31/2026 20:13,view,P0314,1/31/2026
E00046602,S001824,101058,1/31/2026 20:10,view,P0400,1/31/2026
E00046518,S005550,100691,1/31/2026 19:56,view,P0165,1/31/2026
E00046520,S005550,100691,1/31/2026 19:48,add_to_cart,P0227,1/31/2026
E00046731,S007411,100960,1/31/2026 19:48,view,P0253,1/31/2026
E00046729,S007411,100960,1/31/2026 19:46,view,P0239,1/31/2026
E00046519,S005550,100691,1/31/2026 19:43,view,P0387,1/31/2026
E00046730,S007411,100960,1/31/2026 19:43,view,P0056,1/31/2026
E00046650,S007825,101105,1/31/2026 19:24,view,P0197,1/31/2026
E00046652,S007825,101105,1/31/2026 19:22,view,P0200,1/31/2026
E00046651,S007825,101105,1/31/2026 19:16,view,P0024,1/31/2026
E00046626,S007685,100340,1/31/2026 18:52,view,P0224,1/31/2026
E00046537,S019417,,1/31/2026 18:40,view,P0303,1/31/2026
E00046604,S012273,101201,1/31/2026 18:40,view,P0290,1/31/2026
E00046603,S012273,101201,1/31/2026 18:39,view,P0031,1/31/2026
E00046538,S019417,,1/31/2026 18:31,view,P0017,1/31/2026
E00046719,S007544,101819,1/31/2026 18:19,view,P0006,1/31/2026
E00046718,S007544,101819,1/31/2026 18:14,view,P0190,1/31/2026
E00046533,S009244,100007,1/31/2026 17:57,view,P0020,1/31/2026
E00046532,S009244,100007,1/31/2026 17:53,view,P0090,1/31/2026
E00046663,S000323,,1/31/2026 17:12,view,P0329,1/31/2026
E00046647,S003086,,1/31/2026 17:00,view,P0043,1/31/2026
E00046601,S006474,101545,1/31/2026 16:56,view,P0357,1/31/2026
E00046632,S000446,100607,1/31/2026 16:54,view,P0371,1/31/2026
E00046711,S004707,,1/31/2026 16:52,view,P0255,1/31/2026
E00046648,S003086,,1/31/2026 16:51,view,P0180,1/31/2026
E00046646,S003086,,1/31/2026 16:48,view,P0176,1/31/2026
E00046712,S004707,,1/31/2026 16:40,view,P0347,1/31/2026
E00046732,S011058,,1/31/2026 16:29,view,P0110,1/31/2026
E00046733,S011058,,1/31/2026 16:28,view,P0255,1/31/2026
E00046567,S005822,100840,1/31/2026 16:27,view,P0232,1/31/2026
E00046565,S005822,100840,1/31/2026 16:26,view,P0280,1/31/2026
E00046566,S005822,100840,1/31/2026 16:16,view,P0378,1/31/2026
E00046734,S011058,,1/31/2026 16:15,view,P0378,1/31/2026
E00046578,S014892,,1/31/2026 15:32,view,P0310,1/31/2026
E00046672,S004547,101074,1/31/2026 15:13,view,P0010,1/31/2026
E00046673,S004547,101074,1/31/2026 15:06,view,P0246,1/31/2026
E00046674,S004547,101074,1/31/2026 15:02,view,P0019,1/31/2026
E00046701,S000740,101939,1/31/2026 15:02,view,P0398,1/31/2026
E00046691,S018617,100947,1/31/2026 14:57,view,P0209,1/31/2026
E00046699,S000740,101939,1/31/2026 14:56,view,P0157,1/31/2026
E00046690,S018617,100947,1/31/2026 14:55,view,P0121,1/31/2026
E00046700,S000740,101939,1/31/2026 14:54,view,P0273,1/31/2026
