session_id,customer_id,session_date,channel,device,country,campaign_id
S000489,100049,8/1/2025,organic,mobile,NG,
S018859,,8/1/2025,organic,mobile,US,
S005389,101717,8/1/2025,organic,desktop,UK,
S017848,101201,8/1/2025,direct,mobile,NL,
S008243,,8/1/2025,paid_social,mobile,CA,CMP003
S010290,101695,8/1/2025,organic,mobile,NG,
S003209,101905,8/1/2025,organic,desktop,UK,
S004463,101009,8/1/2025,organic,mobile,NG,
S016405,100341,8/1/2025,paid_social,desktop,NG,CMP008
S004284,100109,8/1/2025,paid_social,desktop,NG,CMP003
S016602,101925,8/1/2025,paid_social,desktop,NG,CMP004
S011648,101461,8/1/2025,paid_social,desktop,NG,CMP008
S017272,101409,8/1/2025,paid_search,mobile,NG,CMP001
S008880,100734,8/1/2025,paid_search,mobile,CA,CMP002
S008866,101802,8/1/2025,paid_search,desktop,NG,CMP002
S013670,101046,8/1/2025,paid_social,desktop,NG,CMP004
S011537,101105,8/1/2025,email,mobile,UK,CMP005
S002073,101909,8/1/2025,direct,mobile,US,
S012010,101420,8/1/2025,paid_search,mobile,UK,CMP001
S012388,101934,8/1/2025,organic,desktop,NG,
S017046,100430,8/1/2025,referral,mobile,CA,CMP007
S012320,,8/1/2025,paid_social,mobile,NG,CMP004
S018262,100014,8/1/2025,referral,desktop,FR,CMP007
S015107,101938,8/1/2025,referral,mobile,DE,CMP007
S003287,101905,8/1/2025,paid_search,desktop,US,CMP001
S018896,100750,8/1/2025,paid_search,mobile,NG,CMP001
S010193,101500,8/1/2025,organic,mobile,NG,
S012166,,8/1/2025,organic,mobile,UK,
S000294,100403,8/1/2025,paid_search,mobile,UK,CMP002
S000763,,8/1/2025,paid_social,mobile,NG,CMP004
S006048,100289,8/1/2025,direct,mobile,NL,
S001945,101079,8/1/2025,paid_search,mobile,NL,CMP001
S003251,101327,8/1/2025,paid_social,mobile,NG,CMP008
S001894,100636,8/1/2025,organic,mobile,UK,
S000307,,8/1/2025,organic,mobile,UK,
