session_id,customer_id,session_date,channel,device,country,campaign_id
S000489,100049.0,2025-08-01,organic,mobile,NG,
S018859,,2025-08-01,organic,mobile,US,
S005389,101717.0,2025-08-01,organic,desktop,UK,
S017848,101201.0,2025-08-01,direct,mobile,NL,
S008243,,2025-08-01,paid_social,mobile,CA,CMP003
S010290,101695.0,2025-08-01,organic,mobile,NG,
S003209,101905.0,2025-08-01,organic,desktop,UK,
S004463,101009.0,2025-08-01,organic,mobile,NG,
S016405,100341.0,2025-08-01,paid_social,desktop,NG,CMP008
S004284,100109.0,2025-08-01,paid_social,desktop,NG,CMP003
S016602,101925.0,2025-08-01,paid_social,desktop,NG,CMP004
S011648,101461.0,2025-08-01,paid_social,desktop,NG,CMP008
S017272,101409.0,2025-08-01,paid_search,mobile,NG,CMP001
S008880,100734.0,2025-08-01,paid_search,mobile,CA,CMP002
S008866,101802.0,2025-08-01,paid_search,desktop,NG,CMP002
S013670,101046.0,2025-08-01,paid_social,desktop,NG,CMP004
S011537,101105.0,2025-08-01,email,mobile,UK,CMP005
S002073,101909.0,2025-08-01,direct,mobile,US,
S012010,101420.0,2025-08-01,paid_search,mobile,UK,CMP001
S012388,101934.0,2025-08-01,organic,desktop,NG,
S017046,100430.0,2025-08-01,referral,mobile,CA,CMP007
S012320,,2025-08-01,paid_social,mobile,NG,CMP004
S018262,100014.0,2025-08-01,referral,desktop,FR,CMP007
S015107,101938.0,2025-08-01,referral,mobile,DE,CMP007
S003287,101905.0,2025-08-01,paid_search,desktop,US,CMP001
S018896,100750.0,2025-08-01,paid_search,mobile,NG,CMP001
S010193,101500.0,2025-08-01,organic,mobile,NG,
S012166,,2025-08-01,organic,mobile,UK,
S000294,100403.0,2025-08-01,paid_search,mobile,UK,CMP002
S000763,,2025-08-01,paid_social,mobile,NG,CMP004
S006048,100289.0,2025-08-01,direct,mobile,NL,
S001945,101079.0,2025-08-01,paid_search,mobile,NL,CMP001
S003251,101327.0,2025-08-01,paid_social,mobile,NG,CMP008
S001894,100636.0,2025-08-01,organic,mobile,UK,
S000307,,2025-08-01,organic,mobile,UK,
S015494,,2025-08-01,direct,mobile,CA,
S018713,101766.0,2025-08-01,organic,mobile,NG,
S016496,101850.0,2025-08-01,paid_search,mobile,NG,CMP001
S000991,101951.0,2025-08-01,direct,mobile,NG,
S010992,,2025-08-01,paid_search,mobile,DE,CMP001
S004114,100049.0,2025-08-01,direct,mobile,DE,
S018563,101475.0,2025-08-01,organic,mobile,US,
S018556,,2025-08-01,referral,mobile,CA,CMP007
S007164,,2025-08-01,organic,desktop,NG,
S000440,100323.0,2025-08-01,paid_search,mobile,NG,CMP002
S002812,101556.0,2025-08-01,paid_social,mobile,NG,CMP004
S010883,100373.0,2025-08-01,paid_social,desktop,CA,CMP004
S006564,100065.0,2025-08-01,organic,mobile,NG,
S005322,101648.0,2025-08-01,organic,mobile,NL,
S004119,100935.0,2025-08-01,organic,mobile,US,
S008747,,2025-08-01,organic,mobile,NG,
S010892,101961.0,2025-08-01,organic,mobile,FR,
S006730,101768.0,2025-08-01,direct,mobile,NG,
S018581,101719.0,2025-08-01,paid_search,mobile,US,CMP001
S002673,,2025-08-01,paid_search,mobile,NL,CMP001
S011385,101081.0,2025-08-01,email,mobile,UK,CMP005
S016505,101407.0,2025-08-01,organic,mobile,US,
S006704,100872.0,2025-08-01,paid_search,mobile,NG,CMP002
S018684,100766.0,2025-08-01,paid_social,mobile,NG,CMP008
S013965,101426.0,2025-08-01,paid_search,desktop,NG,CMP001
S000830,,2025-08-01,organic,desktop,NG,
S008822,,2025-08-01,paid_social,desktop,NG,CMP004
S004100,,2025-08-01,paid_search,mobile,NG,CMP001
S002656,,2025-08-01,referral,mobile,US,CMP007
S016458,,2025-08-01,email,mobile,CA,CMP006
S005332,,2025-08-01,organic,mobile,UK,
S007095,100589.0,2025-08-01,direct,mobile,NG,
S011126,,2025-08-01,organic,mobile,US,
S017704,100831.0,2025-08-01,paid_social,desktop,NG,CMP008
S010575,100529.0,2025-08-01,paid_search,mobile,CA,CMP002
S010120,100612.0,2025-08-01,organic,mobile,CA,
S017761,,2025-08-01,referral,mobile,NG,CMP007
S012495,101225.0,2025-08-01,paid_search,mobile,UK,CMP001
S013033,101379.0,2025-08-01,email,desktop,DE,CMP005
S012505,101108.0,2025-08-01,paid_search,desktop,NG,CMP001
S014681,101956.0,2025-08-01,email,mobile,NG,CMP005
S012682,101330.0,2025-08-01,organic,mobile,NG,
S009781,100364.0,2025-08-01,direct,desktop,NG,
S014922,,2025-08-01,paid_social,mobile,US,CMP008
S007776,100202.0,2025-08-01,email,desktop,NG,CMP005
S000338,100699.0,2025-08-01,paid_search,desktop,US,CMP001
S009247,100409.0,2025-08-01,paid_social,desktop,NG,CMP003
S005936,100269.0,2025-08-01,organic,desktop,DE,
S012474,100948.0,2025-08-01,paid_search,mobile,UK,CMP001
S017959,100734.0,2025-08-01,paid_social,desktop,NG,CMP003
S001280,101067.0,2025-08-01,paid_search,desktop,US,CMP001
S001301,101198.0,2025-08-01,paid_social,mobile,NG,CMP004
S001235,100739.0,2025-08-01,direct,mobile,NG,
S001408,100497.0,2025-08-01,referral,desktop,CA,CMP007
S004932,101015.0,2025-08-01,paid_social,mobile,NG,CMP003
S017344,,2025-08-01,organic,mobile,DE,
S003891,,2025-08-01,email,mobile,NG,CMP005
S014855,100545.0,2025-08-01,organic,mobile,NG,
S016790,,2025-08-01,paid_social,mobile,CA,CMP008
S007652,,2025-08-01,paid_search,mobile,NG,CMP002
S005817,,2025-08-01,paid_search,desktop,FR,CMP001
S016023,101236.0,2025-08-01,email,mobile,NG,CMP006
S009220,100322.0,2025-08-01,paid_search,mobile,FR,CMP002
S012801,100211.0,2025-08-01,organic,desktop,US,
S007573,101071.0,2025-08-02,email,mobile,NG,CMP006
S002523,101304.0,2025-08-02,direct,desktop,US,
S014343,100083.0,2025-08-02,paid_social,mobile,NG,CMP004
S003762,100226.0,2025-08-02,direct,desktop,FR,
S013941,101077.0,2025-08-02,paid_social,mobile,NG,CMP003
S013937,100098.0,2025-08-02,referral,mobile,NG,CMP007
S007297,,2025-08-02,paid_search,mobile,US,CMP002
S007077,101227.0,2025-08-02,organic,desktop,US,
S008417,,2025-08-02,paid_search,desktop,US,CMP002
S008495,100782.0,2025-08-02,direct,mobile,UK,
S006761,101697.0,2025-08-02,paid_search,mobile,NG,CMP001
S008399,100149.0,2025-08-02,paid_search,desktop,NL,CMP001
S006406,101319.0,2025-08-02,email,mobile,UK,CMP005
S013127,101540.0,2025-08-02,organic,desktop,NG,
S003093,100728.0,2025-08-02,email,desktop,NG,CMP005
S007610,,2025-08-02,paid_search,mobile,NG,CMP002
S011554,,2025-08-02,referral,mobile,NG,CMP007
S008361,100627.0,2025-08-02,organic,desktop,NG,
S004072,100260.0,2025-08-02,paid_search,mobile,FR,CMP001
S012698,,2025-08-02,paid_social,mobile,DE,CMP004
S002591,101575.0,2025-08-02,direct,mobile,NG,
S016228,100878.0,2025-08-02,paid_social,mobile,NG,CMP003
S011247,101467.0,2025-08-02,referral,mobile,NG,CMP007
S019756,101371.0,2025-08-02,paid_social,mobile,NL,CMP003
S001192,100225.0,2025-08-02,organic,desktop,NG,
S009632,101658.0,2025-08-02,referral,mobile,NG,CMP007
S017759,100567.0,2025-08-02,referral,mobile,NG,CMP007
S010917,,2025-08-02,paid_social,mobile,NG,CMP008
S014238,101656.0,2025-08-02,direct,desktop,NG,
S015359,101274.0,2025-08-02,direct,mobile,NG,
S008672,,2025-08-02,paid_social,mobile,NG,CMP003
S015372,101271.0,2025-08-02,organic,desktop,US,
S008793,100452.0,2025-08-02,direct,mobile,FR,
S004893,101761.0,2025-08-02,direct,mobile,NG,
S014056,100889.0,2025-08-02,referral,mobile,UK,CMP007
S014055,100683.0,2025-08-02,direct,mobile,NG,
S008497,101086.0,2025-08-02,paid_social,mobile,UK,CMP004
S002899,,2025-08-02,organic,mobile,NG,
S018002,101139.0,2025-08-02,email,mobile,US,CMP005
S013029,100995.0,2025-08-02,referral,mobile,NG,CMP007
S014035,,2025-08-02,direct,desktop,US,
S004865,101936.0,2025-08-02,referral,desktop,NG,CMP007
S014012,100369.0,2025-08-02,paid_search,desktop,NG,CMP002
S003759,100906.0,2025-08-02,paid_social,mobile,NG,CMP003
S007482,101100.0,2025-08-02,direct,mobile,NG,
S003898,100590.0,2025-08-02,organic,mobile,NG,
S017320,100842.0,2025-08-02,paid_search,desktop,NG,CMP002
S008545,101107.0,2025-08-02,paid_search,mobile,UK,CMP001
S007337,101558.0,2025-08-02,paid_social,desktop,NG,CMP008
S016993,100977.0,2025-08-02,organic,desktop,NG,
S001375,101273.0,2025-08-02,paid_social,mobile,US,CMP004
S004217,,2025-08-02,referral,desktop,NG,CMP007
S010390,100378.0,2025-08-02,direct,mobile,NG,
S008338,,2025-08-02,organic,desktop,UK,
S010217,100443.0,2025-08-02,paid_social,mobile,NG,CMP004
S005419,100365.0,2025-08-02,organic,mobile,DE,
S014439,101689.0,2025-08-02,paid_social,mobile,NG,CMP004
S012078,,2025-08-02,paid_social,mobile,NG,CMP004
S006783,101188.0,2025-08-02,email,mobile,FR,CMP005
S006793,100865.0,2025-08-02,direct,desktop,NG,
S015691,,2025-08-02,referral,desktop,NG,CMP007
S000715,100222.0,2025-08-02,organic,mobile,CA,
S010003,101436.0,2025-08-02,organic,desktop,US,
S010008,,2025-08-02,direct,mobile,DE,
S015711,,2025-08-02,direct,desktop,NG,
S009084,100502.0,2025-08-02,organic,mobile,US,
S007262,100403.0,2025-08-02,paid_social,mobile,US,CMP008
S019200,100448.0,2025-08-02,direct,mobile,US,
S012209,,2025-08-02,organic,mobile,UK,
S009089,101106.0,2025-08-02,organic,desktop,NG,
S010177,101972.0,2025-08-02,email,desktop,NG,CMP006
S013360,100924.0,2025-08-02,paid_search,mobile,NG,CMP001
S001513,101243.0,2025-08-02,paid_search,desktop,NG,CMP001
S001541,,2025-08-02,paid_search,mobile,NG,CMP001
S004637,100941.0,2025-08-02,paid_social,mobile,US,CMP003
S003307,100903.0,2025-08-02,organic,desktop,NG,
S017503,101090.0,2025-08-02,paid_search,mobile,NL,CMP002
S001754,,2025-08-02,paid_social,mobile,NG,CMP003
S012381,,2025-08-02,organic,mobile,NG,
S016249,100097.0,2025-08-02,organic,mobile,US,
S001620,101082.0,2025-08-02,paid_search,mobile,NG,CMP002
S004600,101515.0,2025-08-02,paid_search,mobile,DE,CMP002
S018226,100341.0,2025-08-02,paid_search,mobile,NG,CMP001
S007913,100819.0,2025-08-02,organic,desktop,NG,
S008114,101784.0,2025-08-02,email,mobile,NL,CMP005
S014510,101452.0,2025-08-02,organic,desktop,UK,
S009552,100961.0,2025-08-02,organic,desktop,UK,
S006291,,2025-08-02,paid_social,desktop,NG,CMP004
S013200,101927.0,2025-08-02,paid_search,mobile,NG,CMP002
S005940,,2025-08-02,email,desktop,NG,CMP006
S001040,100330.0,2025-08-02,direct,mobile,UK,
S011809,101944.0,2025-08-02,referral,mobile,US,CMP007
S014197,100503.0,2025-08-02,organic,desktop,UK,
S008998,100291.0,2025-08-02,email,mobile,NG,CMP005
S009315,,2025-08-02,paid_search,desktop,US,CMP001
S015040,101900.0,2025-08-02,paid_search,desktop,DE,CMP002
S000149,,2025-08-02,organic,desktop,NG,
S006845,100147.0,2025-08-02,paid_search,mobile,NG,CMP001
S011792,100323.0,2025-08-02,paid_search,mobile,CA,CMP002
S002195,,2025-08-02,paid_search,mobile,CA,CMP001
S005400,,2025-08-02,paid_search,desktop,NG,CMP001
S007238,101734.0,2025-08-02,paid_social,mobile,US,CMP004
S017076,100870.0,2025-08-02,paid_search,mobile,US,CMP001
S003484,101626.0,2025-08-02,direct,mobile,NG,
S013705,100516.0,2025-08-02,organic,mobile,UK,
S006290,100111.0,2025-08-02,organic,mobile,NG,
S002069,101494.0,2025-08-02,paid_social,mobile,NG,CMP008
S003130,101341.0,2025-08-02,referral,desktop,FR,CMP007
S002033,101963.0,2025-08-02,paid_social,desktop,NG,CMP004
S018819,100598.0,2025-08-02,email,mobile,UK,CMP006
S003567,,2025-08-02,organic,mobile,NG,
S003106,101895.0,2025-08-03,email,desktop,US,CMP006
S009227,101481.0,2025-08-03,paid_social,mobile,NG,CMP003
S000410,,2025-08-03,organic,mobile,NL,
S003125,,2025-08-03,direct,mobile,NG,
S018190,,2025-08-03,organic,desktop,UK,
S003322,100827.0,2025-08-03,email,mobile,NG,CMP006
S006882,,2025-08-03,email,mobile,US,CMP006
S008750,100500.0,2025-08-03,paid_search,mobile,NG,CMP001
S003147,100948.0,2025-08-03,organic,mobile,CA,
S014900,100153.0,2025-08-03,paid_search,mobile,UK,CMP001
S015013,101011.0,2025-08-03,referral,desktop,NG,CMP007
S010699,101373.0,2025-08-03,organic,mobile,US,
S000927,,2025-08-03,paid_search,mobile,DE,CMP001
S014245,101646.0,2025-08-03,paid_search,desktop,US,CMP002
S006608,100082.0,2025-08-03,direct,desktop,NG,
S003422,,2025-08-03,direct,desktop,UK,
S014908,101277.0,2025-08-03,organic,desktop,NG,
S015193,100740.0,2025-08-03,organic,desktop,US,
S009643,101937.0,2025-08-03,paid_social,mobile,NG,CMP003
S009078,100401.0,2025-08-03,paid_social,mobile,NG,CMP004
S002959,101865.0,2025-08-03,referral,desktop,NG,CMP007
S006646,100061.0,2025-08-03,paid_social,desktop,CA,CMP008
S014968,100427.0,2025-08-03,paid_search,desktop,US,CMP001
S009999,101210.0,2025-08-03,direct,mobile,NG,
S010233,101973.0,2025-08-03,paid_search,mobile,NG,CMP001
S016060,101978.0,2025-08-03,organic,mobile,NG,
S009786,101391.0,2025-08-03,direct,desktop,NG,
S005221,,2025-08-03,paid_search,mobile,NG,CMP002
S010760,101740.0,2025-08-03,direct,mobile,NL,
S019218,100175.0,2025-08-03,paid_search,desktop,US,CMP002
S005481,,2025-08-03,email,mobile,CA,CMP006
S019127,101311.0,2025-08-03,direct,desktop,UK,
S001680,100699.0,2025-08-03,paid_social,desktop,NG,CMP004
S004609,,2025-08-03,email,desktop,UK,CMP005
S007275,,2025-08-03,organic,desktop,US,
S013335,100628.0,2025-08-03,email,desktop,US,CMP005
S017537,100815.0,2025-08-03,organic,mobile,DE,
S005495,,2025-08-03,paid_social,mobile,US,CMP008
S001838,101746.0,2025-08-03,paid_search,mobile,CA,CMP001
S012279,101576.0,2025-08-03,paid_social,desktop,US,CMP003
S012274,100033.0,2025-08-03,referral,desktop,NG,CMP007
S004496,100834.0,2025-08-03,paid_social,mobile,NG,CMP008
S015700,100989.0,2025-08-03,direct,mobile,NL,
S017586,101954.0,2025-08-03,organic,mobile,NG,
S015689,101784.0,2025-08-03,paid_search,desktop,NG,CMP002
S012077,101934.0,2025-08-03,organic,mobile,FR,
S012008,101115.0,2025-08-03,paid_social,desktop,UK,CMP004
S013372,101072.0,2025-08-03,paid_social,desktop,NG,CMP004
S007768,101677.0,2025-08-03,organic,mobile,DE,
S007760,101288.0,2025-08-03,email,mobile,US,CMP006
S016780,101852.0,2025-08-03,organic,mobile,NL,
S012963,101577.0,2025-08-03,email,mobile,US,CMP006
S001217,101101.0,2025-08-03,paid_social,desktop,NG,CMP003
S007433,101470.0,2025-08-03,email,mobile,NG,CMP006
S005581,,2025-08-03,paid_search,mobile,FR,CMP002
S012812,,2025-08-03,organic,mobile,CA,
S004888,,2025-08-03,referral,mobile,NG,CMP007
S001331,100714.0,2025-08-03,paid_social,mobile,FR,CMP004
S001337,100110.0,2025-08-03,organic,mobile,CA,
S012705,,2025-08-03,organic,desktop,US,
S007326,101153.0,2025-08-03,referral,desktop,NG,CMP007
S001385,100912.0,2025-08-03,direct,mobile,CA,
S012677,,2025-08-03,paid_search,mobile,NG,CMP002
S015913,101169.0,2025-08-03,email,mobile,UK,CMP005
S013187,101912.0,2025-08-03,email,desktop,NL,CMP006
S015890,101436.0,2025-08-03,email,desktop,CA,CMP006
